,Cluster,Companies
840,3,1316
841,3,1317
842,3,1319
843,3,34605
844,3,1398
845,3,34687
846,3,34696
847,3,34697
848,3,1387
849,3,171
850,3,51256
851,3,194
852,3,1379
853,3,34734
854,3,50929
855,3,35067
856,3,34747
857,3,34801
858,3,34803
859,3,222
860,3,49339
861,3,34841
862,3,1336
863,3,1332
864,3,34854
865,3,48497
866,3,48152
867,3,1323
868,3,1321
869,3,50470
870,3,35105
871,3,41181
872,3,41180
873,3,606
874,3,36661
875,3,35793
876,3,443
877,3,584
878,3,582
879,3,455
880,3,36524
881,3,36522
882,3,573
883,3,36521
884,3,35921
885,3,614
886,3,35924
887,3,36479
888,3,36418
889,3,496
890,3,549
891,3,498
892,3,36415
893,3,36414
894,3,36045
895,3,543
896,3,504
897,3,539
898,3,36092
899,3,491
900,3,158
901,3,615
902,3,35746
903,3,41177
904,3,357
905,3,1207
906,3,1201
907,3,40963
908,3,40166
909,3,39865
910,3,35262
911,3,379
912,3,35305
913,3,1184
914,3,39423
915,3,1125
916,3,384
917,3,1177
918,3,38983
919,3,35477
920,3,36713
921,3,1164
922,3,36710
923,3,403
924,3,1159
925,3,1154
926,3,413
927,3,1131
928,3,36680
929,3,1178
930,3,51693
931,3,522
932,3,34548
933,3,74
934,3,61447
935,3,1437
936,3,34533
937,3,63224
938,3,1476
939,3,1578
940,3,1576
941,3,17595
942,3,1523
943,3,6
944,3,20
945,3,1478
946,3,114
947,3,1512
948,3,64857
949,3,1421
950,3,1457
951,3,1408
952,3,30181
953,3,65471
954,3,34602
955,3,18756
956,3,34599
957,3,1514
958,3,61465
959,3,1432
960,3,1428
961,3,83985
962,3,68
963,3,65453
964,3,34338
965,3,1555
966,3,51695
967,3,34325
968,3,1454
969,3,1533
970,4,9984
971,4,297
972,4,15274
973,4,26
974,4,350
975,4,1347
976,4,1268
977,4,15047
978,4,9399
979,4,6511
980,4,346
981,4,10326
982,4,9112
983,4,11397
984,4,1995
985,4,16254
986,4,1277
987,4,4816
988,4,1460
989,4,1250
990,4,600
991,4,11751
992,4,17414
993,4,10697
994,4,14223
995,4,1208
996,4,9705
997,4,12290
998,4,10106
999,5,1940
1000,5,35512
1001,5,10579
1002,5,1962
1003,5,10478
1004,5,466
1005,5,5199
1006,5,6535
1007,5,12406
1008,5,9865
1009,5,16579
1010,5,6546
1011,5,10780
1012,5,450
1013,5,5776
1014,5,1298
1015,5,14224
1016,5,10772
1017,5,1750
1018,5,10700
1019,5,10588
1020,5,9297
1021,5,16173
1022,5,16172
1023,5,1198
1024,5,2102
1025,5,4815
1026,5,1822
1027,5,16327
1028,5,1191
1029,5,16055
1030,5,188
1031,5,8994
1032,5,1413
1033,5,35147
1034,5,4991
1035,5,292
1036,5,10880
1037,5,1672
1038,5,13206
1039,5,15694
1040,5,123
1041,5,340
1042,5,1902
1043,5,10347
1044,5,10699
1045,5,17481
1046,5,35923
1047,5,34337
1048,5,6363
1049,5,34847
1050,6,69313
1051,6,36688
1052,6,11253
1053,6,9883
1054,6,11254
1055,6,36689
1056,6,66342
1057,6,10038
1058,6,11220
1059,6,11247
1060,6,39616
1061,6,65458
1062,6,11096
1063,6,9899
1064,6,11109
1065,6,11138
1066,6,11169
1067,6,11194
1068,6,11213
1069,6,11215
1070,6,39614
1071,6,36716
1072,6,39226
1073,6,11238
1074,6,9897
1075,6,66334
1076,6,11239
1077,6,66340
1078,6,38761
1079,6,11240
1080,6,11242
1081,6,38521
1082,6,37729
1083,6,66341
1084,6,11230
1085,6,36686
1086,6,36666
1087,6,36684
1088,6,11624
1089,6,11623
1090,6,11614
1091,6,36474
1092,6,11607
1093,6,36482
1094,6,106940
